transaction_id,product_category,amount,customer_region,transaction_date
1,Books,149.46,South,2026-04-25 10:13:20.831784
2,Clothing,103.95,East,2026-04-25 09:13:20.831784
3,Groceries,113.63,West,2026-04-25 08:13:20.831784
4,Sports,110.58,North,2026-04-25 07:13:20.831784
5,Electronics,95.00,South,2026-04-25 06:13:20.831784
6,Books,98.84,East,2026-04-25 05:13:20.831784
7,Clothing,46.54,West,2026-04-25 04:13:20.831784
8,Groceries,47.49,North,2026-04-25 03:13:20.831784
9,Sports,111.83,South,2026-04-25 02:13:20.831784
10,Electronics,140.02,East,2026-04-25 01:13:20.831784
11,Books,172.12,West,2026-04-25 00:13:20.831784
12,Clothing,135.48,North,2026-04-24 23:13:20.831784
13,Groceries,56.29,South,2026-04-24 22:13:20.831784
14,Sports,59.93,East,2026-04-24 21:13:20.831784
15,Electronics,66.69,West,2026-04-24 20:13:20.831784
16,Books,88.65,North,2026-04-24 19:13:20.831784
17,Clothing,123.95,South,2026-04-24 18:13:20.831784
18,Groceries,93.69,East,2026-04-24 17:13:20.831784
19,Sports,108.05,West,2026-04-24 16:13:20.831784
20,Electronics,142.92,North,2026-04-24 15:13:20.831784
21,Books,125.39,South,2026-04-24 14:13:20.831784
22,Clothing,118.74,East,2026-04-24 13:13:20.831784
23,Groceries,62.64,West,2026-04-24 12:13:20.831784
24,Sports,18.30,North,2026-04-24 11:13:20.831784
25,Electronics,74.60,South,2026-04-24 10:13:20.831784
26,Books,116.09,East,2026-04-24 09:13:20.831784
27,Clothing,153.19,West,2026-04-24 08:13:20.831784
28,Groceries,161.16,North,2026-04-24 07:13:20.831784
29,Sports,92.24,South,2026-04-24 06:13:20.831784
30,Electronics,80.71,East,2026-04-24 05:13:20.831784
31,Books,89.42,West,2026-04-24 04:13:20.831784
32,Clothing,74.88,North,2026-04-24 03:13:20.831784
33,Groceries,94.93,South,2026-04-24 02:13:20.831784
34,Sports,73.04,East,2026-04-24 01:13:20.831784
35,Electronics,75.31,West,2026-04-24 00:13:20.831784
36,Books,142.78,North,2026-04-23 23:13:20.831784
37,Clothing,152.19,South,2026-04-23 22:13:20.831784
38,Groceries,144.26,East,2026-04-23 21:13:20.831784
39,Sports,102.67,West,2026-04-23 20:13:20.831784
40,Electronics,25.17,North,2026-04-23 19:13:20.831784
