table,column,seasonality,entropy,relativeEntropy,kurtosis,skewness,valueAge
local_postgres.openmetadata_db.public.demo_sales_clean,(table-level),0.00,N/A,N/A,N/A,N/A,N/A
local_postgres.openmetadata_db.public.demo_sales_clean,transaction_id,N/A,8.97,0.00,-1.20,0.00,493643.42
local_postgres.openmetadata_db.public.demo_sales_clean,product_category,N/A,2.32,0.00,N/A,N/A,N/A
local_postgres.openmetadata_db.public.demo_sales_clean,amount,N/A,8.93,0.01,-0.68,-0.03,493643.42
local_postgres.openmetadata_db.public.demo_sales_clean,customer_region,N/A,2.00,0.00,N/A,N/A,N/A
local_postgres.openmetadata_db.public.demo_sales_clean,transaction_date,N/A,7.39,0.00,N/A,N/A,88.70
local_postgres.openmetadata_db.public.demo_sales_dirty,(table-level),0.00,N/A,N/A,N/A,N/A,N/A
local_postgres.openmetadata_db.public.demo_sales_dirty,transaction_id,N/A,8.97,0.00,-1.20,0.00,493643.42
local_postgres.openmetadata_db.public.demo_sales_dirty,product_category,N/A,0.40,2.18,N/A,N/A,N/A
local_postgres.openmetadata_db.public.demo_sales_dirty,amount,N/A,8.44,0.10,15.23,4.14,493643.42
local_postgres.openmetadata_db.public.demo_sales_dirty,customer_region,N/A,0.00,0.00,N/A,N/A,N/A
local_postgres.openmetadata_db.public.demo_sales_dirty,transaction_date,N/A,4.91,0.00,N/A,N/A,2741.70
